id,grado,nivel,scores,tiempo,resultado,juego
1,6,3,11,28,NO APRENDIO,2
2,1,1,10,17,NO APRENDIO,2
3,2,1,23,19,NO APRENDIO,2
4,3,3,7,15,APRENDIO,2
5,3,3,25,36,NO APRENDIO,2
6,5,3,5,38,NO APRENDIO,2
7,5,3,21,29,NO APRENDIO,2
8,3,2,12,47,NO APRENDIO,2
9,2,2,7,16,NO APRENDIO,2
10,1,2,3,17,APRENDIO,2
11,4,1,25,49,NO APRENDIO,2
12,5,1,17,47,NO APRENDIO,2
13,5,2,17,28,NO APRENDIO,2
14,5,3,18,43,NO APRENDIO,2
15,1,3,28,50,NO APRENDIO,2
16,4,2,27,27,NO APRENDIO,2
17,2,3,3,39,NO APRENDIO,2
18,1,1,2,34,NO APRENDIO,2
19,2,1,3,26,NO APRENDIO,2
20,2,3,8,4,APRENDIO,2
21,4,3,22,7,NO APRENDIO,2
22,4,3,5,16,APRENDIO,2
23,3,3,4,27,APRENDIO,2
24,4,2,10,29,NO APRENDIO,2
25,5,1,13,29,NO APRENDIO,2
26,5,3,9,35,APRENDIO,2
27,6,1,25,49,NO APRENDIO,2
28,3,2,26,37,NO APRENDIO,2
29,3,2,6,36,NO APRENDIO,2
30,6,1,12,21,NO APRENDIO,2
31,6,3,23,47,NO APRENDIO,2
32,3,3,7,5,APRENDIO,2
33,2,2,5,4,APRENDIO,2
34,5,1,20,3,NO APRENDIO,2
35,6,2,17,49,NO APRENDIO,2
36,2,1,27,45,NO APRENDIO,2
37,4,2,12,13,NO APRENDIO,2
38,2,2,11,16,NO APRENDIO,2
39,1,3,19,1,NO APRENDIO,2
40,3,2,9,38,NO APRENDIO,2
41,4,2,30,44,NO APRENDIO,2
42,2,2,5,5,APRENDIO,2
43,4,3,1,27,APRENDIO,2
44,2,1,13,37,NO APRENDIO,2
45,1,1,16,42,NO APRENDIO,2
46,4,2,5,47,NO APRENDIO,2
47,3,1,26,50,NO APRENDIO,2
48,5,3,27,42,NO APRENDIO,2
49,3,1,14,19,NO APRENDIO,2
50,5,3,11,34,NO APRENDIO,2
51,1,2,14,21,NO APRENDIO,2
52,2,2,5,30,NO APRENDIO,2
53,5,3,20,34,NO APRENDIO,2
54,4,2,18,50,NO APRENDIO,2
55,1,2,27,27,NO APRENDIO,2
56,2,3,10,30,NO APRENDIO,2
57,5,1,23,42,NO APRENDIO,2
58,5,1,6,41,NO APRENDIO,2
59,4,2,11,2,NO APRENDIO,2
60,3,1,20,46,NO APRENDIO,2
61,4,2,2,20,APRENDIO,2
62,6,3,6,30,APRENDIO,2
63,2,3,9,15,APRENDIO,2
64,6,2,21,13,NO APRENDIO,2
65,3,2,9,4,NO APRENDIO,2
66,4,3,22,43,NO APRENDIO,2
67,1,2,6,2,NO APRENDIO,2
68,1,1,24,1,NO APRENDIO,2
69,1,2,6,30,NO APRENDIO,2
70,5,1,8,41,NO APRENDIO,2
71,1,1,23,20,NO APRENDIO,2
72,3,3,2,6,APRENDIO,2
73,6,1,5,20,NO APRENDIO,2
74,2,1,3,5,APRENDIO,2
75,5,1,6,36,NO APRENDIO,2
76,4,1,6,38,NO APRENDIO,2
77,5,2,13,7,NO APRENDIO,2
78,3,3,17,34,NO APRENDIO,2
79,6,3,2,45,NO APRENDIO,2
80,6,1,30,32,NO APRENDIO,2
81,2,3,4,13,APRENDIO,2
82,1,2,10,4,NO APRENDIO,2
83,5,3,15,5,NO APRENDIO,2
84,6,3,6,27,APRENDIO,2
85,2,3,27,35,NO APRENDIO,2
86,3,1,6,48,NO APRENDIO,2
87,5,3,18,39,NO APRENDIO,2
88,3,3,13,24,NO APRENDIO,2
89,5,3,25,17,NO APRENDIO,2
90,4,2,5,21,APRENDIO,2
91,1,2,5,45,NO APRENDIO,2
92,6,3,20,46,NO APRENDIO,2
93,5,3,10,45,NO APRENDIO,2
94,2,2,22,1,NO APRENDIO,2
95,1,2,25,15,NO APRENDIO,2
96,1,3,19,12,NO APRENDIO,2
97,2,1,1,37,NO APRENDIO,2
98,1,3,2,2,APRENDIO,2
99,2,3,12,17,NO APRENDIO,2
100,4,1,5,17,NO APRENDIO,2
101,3,3,1,39,NO APRENDIO,2
102,3,3,9,28,APRENDIO,2
103,1,3,25,35,NO APRENDIO,2
104,1,3,25,1,NO APRENDIO,2
105,3,1,16,18,NO APRENDIO,2
106,2,3,4,35,APRENDIO,2
107,2,2,28,49,NO APRENDIO,2
108,6,2,14,1,NO APRENDIO,2
109,1,2,29,16,NO APRENDIO,2
110,4,1,2,34,NO APRENDIO,2
111,3,3,29,18,NO APRENDIO,2
112,5,3,17,2,NO APRENDIO,2
113,1,3,20,28,NO APRENDIO,2
114,6,1,21,43,NO APRENDIO,2
115,5,1,2,9,APRENDIO,2
116,2,1,1,27,NO APRENDIO,2
117,4,3,29,33,NO APRENDIO,2
118,2,1,15,23,NO APRENDIO,2
119,2,2,23,35,NO APRENDIO,2
120,5,3,21,27,NO APRENDIO,2
121,4,1,14,15,NO APRENDIO,2
122,4,2,2,34,NO APRENDIO,2
123,3,3,12,20,NO APRENDIO,2
124,5,2,19,49,NO APRENDIO,2
125,2,1,24,18,NO APRENDIO,2
126,4,3,17,20,NO APRENDIO,2
127,2,3,7,47,NO APRENDIO,2
128,5,3,12,42,NO APRENDIO,2
129,1,2,14,8,NO APRENDIO,2
130,1,2,26,47,NO APRENDIO,2
131,5,3,22,15,NO APRENDIO,2
132,2,1,25,39,NO APRENDIO,2
133,3,2,28,47,NO APRENDIO,2
134,1,2,20,40,NO APRENDIO,2
135,6,2,22,28,NO APRENDIO,2
136,4,1,7,11,NO APRENDIO,2
137,1,2,13,13,NO APRENDIO,2
138,5,2,27,7,NO APRENDIO,2
139,5,1,2,4,APRENDIO,2
140,1,1,6,22,NO APRENDIO,2
141,2,3,15,21,NO APRENDIO,2
142,6,2,17,50,NO APRENDIO,2
143,6,2,15,41,NO APRENDIO,2
144,2,1,5,17,NO APRENDIO,2
145,2,3,21,4,NO APRENDIO,2
146,1,2,30,47,NO APRENDIO,2
147,5,3,10,22,NO APRENDIO,2
148,5,3,2,11,APRENDIO,2
149,6,2,20,13,NO APRENDIO,2
150,5,3,16,47,NO APRENDIO,2
151,4,2,9,7,NO APRENDIO,2
152,5,3,8,13,APRENDIO,2
153,6,2,23,48,NO APRENDIO,2
154,5,2,2,22,APRENDIO,2
155,1,3,18,38,NO APRENDIO,2
156,2,1,1,37,NO APRENDIO,2
157,4,2,30,20,NO APRENDIO,2
158,4,2,30,20,NO APRENDIO,2
159,3,3,17,11,NO APRENDIO,2
160,1,2,1,20,APRENDIO,2
161,3,2,23,6,NO APRENDIO,2
162,2,3,15,17,NO APRENDIO,2
163,3,1,20,40,NO APRENDIO,2
164,1,1,16,34,NO APRENDIO,2
165,4,2,9,11,NO APRENDIO,2
166,5,2,4,35,NO APRENDIO,2
167,5,2,10,20,NO APRENDIO,2
168,4,3,6,17,APRENDIO,2
169,1,3,23,2,NO APRENDIO,2
170,6,3,12,24,NO APRENDIO,2
171,5,3,8,43,NO APRENDIO,2
172,1,3,23,23,NO APRENDIO,2
173,1,3,12,21,NO APRENDIO,2
174,6,2,5,13,APRENDIO,2
175,3,3,21,36,NO APRENDIO,2
176,4,2,6,19,NO APRENDIO,2
177,3,2,6,28,NO APRENDIO,2
178,4,2,4,16,APRENDIO,2
179,5,2,13,16,NO APRENDIO,2
180,5,1,23,50,NO APRENDIO,2
181,3,1,19,35,NO APRENDIO,2
182,6,3,25,28,NO APRENDIO,2
183,2,3,24,39,NO APRENDIO,2
184,6,3,23,10,NO APRENDIO,2
185,6,3,23,24,NO APRENDIO,2
186,1,1,25,32,NO APRENDIO,2
187,4,3,6,5,APRENDIO,2
188,4,2,26,39,NO APRENDIO,2
189,3,2,6,49,NO APRENDIO,2
190,2,3,9,17,APRENDIO,2
191,5,3,4,18,APRENDIO,2
192,5,3,14,40,NO APRENDIO,2
193,2,1,13,10,NO APRENDIO,2
194,5,2,6,38,NO APRENDIO,2
