grade,game,level,moves,time,result_test,result_game,time_per_move,move_efficiency
First Grade,Hanoi,1,10,17,Failed,Failed,1.7,2.5
Third Grade,Hanoi,3,25,36,Failed,Failed,1.44,2.7777777777777777
Fifth Grade,Hanoi,3,21,29,Failed,Failed,1.380952380952381,2.3333333333333335
Third Grade,Hanoi,2,12,47,Failed,Failed,3.9166666666666665,2.4
Second Grade,Hanoi,2,7,16,Failed,Failed,2.2857142857142856,1.4
Fourth Grade,Hanoi,1,25,49,Failed,Failed,1.96,6.25
Fifth Grade,Hanoi,1,17,47,Failed,Failed,2.764705882352941,4.25
Fifth Grade,Hanoi,2,17,28,Failed,Failed,1.6470588235294117,3.4
Fifth Grade,Hanoi,3,18,43,Failed,Failed,2.388888888888889,2.0
First Grade,Hanoi,3,28,50,Failed,Failed,1.7857142857142858,3.111111111111111
Fourth Grade,Hanoi,2,27,27,Failed,Failed,1.0,5.4
Second Grade,Hanoi,1,3,26,Failed,Failed,8.666666666666666,0.75
Fourth Grade,Hanoi,2,10,29,Failed,Failed,2.9,2.0
Fifth Grade,Hanoi,1,13,29,Failed,Failed,2.230769230769231,3.25
Sixth Grade,Hanoi,1,25,49,Failed,Failed,1.96,6.25
Third Grade,Hanoi,2,26,37,Failed,Failed,1.4230769230769231,5.2
Sixth Grade,Hanoi,1,12,21,Failed,Failed,1.75,3.0
Sixth Grade,Hanoi,3,23,47,Failed,Failed,2.0434782608695654,2.5555555555555554
Sixth Grade,Hanoi,2,17,49,Failed,Failed,2.8823529411764706,3.4
Second Grade,Hanoi,1,27,45,Failed,Failed,1.6666666666666667,6.75
Fourth Grade,Hanoi,2,12,13,Failed,Failed,1.0833333333333333,2.4
Second Grade,Hanoi,2,11,16,Failed,Failed,1.4545454545454546,2.2
Third Grade,Hanoi,2,9,38,Failed,Failed,4.222222222222222,1.8
Fourth Grade,Hanoi,2,30,44,Failed,Failed,1.4666666666666666,6.0
Second Grade,Hanoi,1,13,37,Failed,Failed,2.8461538461538463,3.25
First Grade,Hanoi,1,16,42,Failed,Failed,2.625,4.0
Third Grade,Hanoi,1,26,50,Failed,Failed,1.9230769230769231,6.5
Fifth Grade,Hanoi,3,27,42,Failed,Failed,1.5555555555555556,3.0
Third Grade,Hanoi,1,14,19,Failed,Failed,1.3571428571428572,3.5
First Grade,Hanoi,2,14,21,Failed,Failed,1.5,2.8
Fifth Grade,Hanoi,3,20,34,Failed,Failed,1.7,2.2222222222222223
Fourth Grade,Hanoi,2,18,50,Failed,Failed,2.7777777777777777,3.6
First Grade,Hanoi,2,27,27,Failed,Failed,1.0,5.4
Fifth Grade,Hanoi,1,23,42,Failed,Failed,1.826086956521739,5.75
Fifth Grade,Hanoi,1,6,41,Failed,Failed,6.833333333333333,1.5
Third Grade,Hanoi,1,20,46,Failed,Failed,2.3,5.0
Fourth Grade,Hanoi,3,22,43,Failed,Failed,1.9545454545454546,2.4444444444444446
Fifth Grade,Hanoi,1,8,41,Failed,Failed,5.125,2.0
Sixth Grade,Hanoi,1,5,20,Failed,Failed,4.0,1.25
Second Grade,Hanoi,1,3,5,Passed,Passed,1.6666666666666667,0.75
Fifth Grade,Hanoi,1,6,36,Failed,Failed,6.0,1.5
Fourth Grade,Hanoi,1,6,38,Failed,Failed,6.333333333333333,1.5
Third Grade,Hanoi,3,17,34,Failed,Failed,2.0,1.8888888888888888
Sixth Grade,Hanoi,1,30,32,Failed,Failed,1.0666666666666667,7.5
Second Grade,Hanoi,3,27,35,Failed,Failed,1.2962962962962963,3.0
Third Grade,Hanoi,1,6,48,Failed,Failed,8.0,1.5
Fifth Grade,Hanoi,3,18,39,Failed,Failed,2.1666666666666665,2.0
Sixth Grade,Hanoi,3,20,46,Failed,Failed,2.3,2.2222222222222223
Fourth Grade,Hanoi,1,5,17,Failed,Failed,3.4,1.25
First Grade,Hanoi,3,25,35,Failed,Failed,1.4,2.7777777777777777
Third Grade,Hanoi,1,16,18,Failed,Failed,1.125,4.0
Second Grade,Hanoi,2,28,49,Failed,Failed,1.75,5.6
First Grade,Hanoi,3,20,28,Failed,Failed,1.4,2.2222222222222223
Sixth Grade,Hanoi,1,21,43,Failed,Failed,2.0476190476190474,5.25
Fourth Grade,Hanoi,3,29,33,Failed,Failed,1.1379310344827587,3.2222222222222223
Second Grade,Hanoi,1,15,23,Failed,Failed,1.5333333333333334,3.75
Second Grade,Hanoi,2,23,35,Failed,Failed,1.5217391304347827,4.6
Fifth Grade,Hanoi,3,21,27,Failed,Failed,1.2857142857142858,2.3333333333333335
Fourth Grade,Hanoi,1,14,15,Failed,Failed,1.0714285714285714,3.5
Fifth Grade,Hanoi,2,19,49,Failed,Failed,2.5789473684210527,3.8
Fourth Grade,Hanoi,3,17,20,Failed,Failed,1.1764705882352942,1.8888888888888888
First Grade,Hanoi,2,26,47,Failed,Failed,1.8076923076923077,5.2
Second Grade,Hanoi,1,25,39,Failed,Failed,1.56,6.25
Third Grade,Hanoi,2,28,47,Failed,Failed,1.6785714285714286,5.6
First Grade,Hanoi,2,20,40,Failed,Failed,2.0,4.0
Sixth Grade,Hanoi,2,22,28,Failed,Failed,1.2727272727272727,4.4
Fourth Grade,Hanoi,1,7,11,Failed,Failed,1.5714285714285714,1.75
First Grade,Hanoi,2,13,13,Failed,Failed,1.0,2.6
First Grade,Hanoi,1,6,22,Failed,Failed,3.6666666666666665,1.5
Second Grade,Hanoi,3,15,21,Failed,Failed,1.4,1.6666666666666667
Sixth Grade,Hanoi,2,17,50,Failed,Failed,2.9411764705882355,3.4
Sixth Grade,Hanoi,2,15,41,Failed,Failed,2.7333333333333334,3.0
Second Grade,Hanoi,1,5,17,Failed,Failed,3.4,1.25
First Grade,Hanoi,2,30,47,Failed,Failed,1.5666666666666667,6.0
Fifth Grade,Hanoi,3,16,47,Failed,Failed,2.9375,1.7777777777777777
Sixth Grade,Hanoi,2,23,48,Failed,Failed,2.0869565217391304,4.6
First Grade,Hanoi,3,18,38,Failed,Failed,2.111111111111111,2.0
Second Grade,Hanoi,3,15,17,Failed,Failed,1.1333333333333333,1.6666666666666667
Third Grade,Hanoi,1,20,40,Failed,Failed,2.0,5.0
First Grade,Hanoi,1,16,34,Failed,Failed,2.125,4.0
Fourth Grade,Hanoi,2,9,11,Failed,Failed,1.2222222222222223,1.8
Fifth Grade,Hanoi,2,10,20,Failed,Failed,2.0,2.0
First Grade,Hanoi,3,23,23,Failed,Failed,1.0,2.5555555555555554
Third Grade,Hanoi,3,21,36,Failed,Failed,1.7142857142857142,2.3333333333333335
Fifth Grade,Hanoi,2,13,16,Failed,Failed,1.2307692307692308,2.6
Fifth Grade,Hanoi,1,23,50,Failed,Failed,2.1739130434782608,5.75
Third Grade,Hanoi,1,19,35,Failed,Failed,1.8421052631578947,4.75
Sixth Grade,Hanoi,3,25,28,Failed,Failed,1.12,2.7777777777777777
Second Grade,Hanoi,3,24,39,Failed,Failed,1.625,2.6666666666666665
Sixth Grade,Hanoi,3,23,24,Failed,Failed,1.0434782608695652,2.5555555555555554
First Grade,Hanoi,1,25,32,Failed,Failed,1.28,6.25
Fourth Grade,Hanoi,2,26,39,Failed,Failed,1.5,5.2
First Grade,Hanoi,3,26,36,Failed,Failed,1.3846153846153846,2.888888888888889
Second Grade,Hanoi,1,5,37,Failed,Failed,7.4,1.25
Fourth Grade,Hanoi,1,5,47,Failed,Failed,9.4,1.25
Sixth Grade,Hanoi,1,19,39,Failed,Failed,2.0526315789473686,4.75
Third Grade,Hanoi,3,17,48,Failed,Failed,2.823529411764706,1.8888888888888888
Third Grade,Hanoi,2,14,40,Failed,Failed,2.857142857142857,2.8
Fourth Grade,Hanoi,1,4,7,Passed,Passed,1.75,1.0
Second Grade,Hanoi,1,28,48,Failed,Failed,1.7142857142857142,7.0
Fifth Grade,Hanoi,3,16,23,Failed,Failed,1.4375,1.7777777777777777
Sixth Grade,Hanoi,3,25,43,Failed,Failed,1.72,2.7777777777777777
First Grade,Hanoi,2,15,16,Failed,Failed,1.0666666666666667,3.0
Fifth Grade,Hanoi,1,18,35,Failed,Failed,1.9444444444444444,4.5
Third Grade,Hanoi,1,14,28,Failed,Failed,2.0,3.5
Fourth Grade,Hanoi,1,5,50,Failed,Failed,10.0,1.25
Third Grade,Hanoi,2,23,37,Failed,Failed,1.608695652173913,4.6
Second Grade,Hanoi,1,10,22,Failed,Failed,2.2,2.5
Fourth Grade,Hanoi,2,18,48,Failed,Failed,2.6666666666666665,3.6
Second Grade,Hanoi,2,15,50,Failed,Failed,3.3333333333333335,3.0
Fifth Grade,Hanoi,3,16,19,Failed,Failed,1.1875,1.7777777777777777
Sixth Grade,Hanoi,2,24,40,Failed,Failed,1.6666666666666667,4.8
First Grade,Hanoi,3,29,35,Failed,Failed,1.206896551724138,3.2222222222222223
Fourth Grade,Hanoi,2,25,37,Failed,Failed,1.48,5.0
Third Grade,Hanoi,3,20,28,Failed,Failed,1.4,2.2222222222222223
Fourth Grade,Hanoi,2,19,47,Failed,Failed,2.473684210526316,3.8
Fourth Grade,Hanoi,1,6,31,Failed,Failed,5.166666666666667,1.5
First Grade,Hanoi,2,15,30,Failed,Failed,2.0,3.0
Second Grade,Hanoi,3,17,36,Failed,Failed,2.1176470588235294,1.8888888888888888
Fifth Grade,Hanoi,1,22,31,Failed,Failed,1.4090909090909092,5.5
Second Grade,Hanoi,2,15,23,Failed,Failed,1.5333333333333334,3.0
First Grade,Hanoi,1,3,43,Failed,Failed,14.333333333333334,0.75
Fourth Grade,Hanoi,3,15,20,Failed,Failed,1.3333333333333333,1.6666666666666667
Second Grade,Hanoi,1,14,14,Failed,Failed,1.0,3.5
First Grade,Hanoi,1,18,18,Failed,Failed,1.0,4.5
First Grade,Hanoi,2,7,45,Failed,Failed,6.428571428571429,1.4
First Grade,Hanoi,1,8,22,Failed,Failed,2.75,2.0
First Grade,Hanoi,1,4,5,Passed,Passed,1.25,1.0
Fourth Grade,Hanoi,3,16,34,Failed,Failed,2.125,1.7777777777777777
Fourth Grade,Hanoi,1,10,50,Failed,Failed,5.0,2.5
Sixth Grade,Hanoi,1,10,17,Failed,Failed,1.7,2.5
Second Grade,Hanoi,3,23,38,Failed,Failed,1.6521739130434783,2.5555555555555554
Fifth Grade,Hanoi,2,23,38,Failed,Failed,1.6521739130434783,4.6
Sixth Grade,Hanoi,2,22,35,Failed,Failed,1.5909090909090908,4.4
Sixth Grade,Hanoi,1,13,45,Failed,Failed,3.4615384615384617,3.25
Fourth Grade,Hanoi,2,19,26,Failed,Failed,1.368421052631579,3.8
First Grade,Hanoi,1,13,39,Failed,Failed,3.0,3.25
Sixth Grade,Hanoi,1,29,39,Failed,Failed,1.3448275862068966,7.25
Sixth Grade,Hanoi,1,14,48,Failed,Failed,3.4285714285714284,3.5
